,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blue_top_lane_first_tower,blue_mid_lane_first_tower,blue_bot_lane_first_tower,red_top_lane_first_tower,red_mid_lane_first_tower,red_bot_lane_first_tower,blue_earth_dragon,blue_air_dragon,blue_fire_dragon,blue_water_dragon,blue_elder_dragon,red_earth_dragon,red_air_dragon,red_fire_dragon,red_water_dragon,red_elder_dragon,blueWins
5372,21564,1984,42,8.4,314,61,0,5,23,8,33,10,0,0,0,0,0,0,0,0,0,0,36020,2516,51,10.2,400,135,0,23,5,27,36,14,1,0,5,2,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
15545,30399,4435,49,9.8,357,93,0,18,7,27,98,14,1,0,1,0,1,0,0,1,2,1,23283,2143,43,8.6,331,71,0,7,18,10,83,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
19804,27153,4328,47,9.4,377,89,0,13,4,21,42,8,1,0,1,0,1,0,0,1,2,1,23395,3100,44,8.8,379,77,0,4,13,7,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1613,30109,2614,50,10.0,396,88,0,15,4,23,72,9,1,0,3,1,0,2,0,1,2,1,22243,2763,44,8.8,373,93,0,4,15,3,57,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
5829,22515,4190,43,8.6,294,77,0,7,12,7,26,6,0,0,0,0,0,0,0,0,0,1,28062,4032,46,9.2,364,68,0,12,7,11,62,7,1,0,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
18069,25420,4015,45,9.0,371,68,0,8,8,6,36,10,0,0,0,0,0,0,0,0,1,1,24325,3475,46,9.2,351,92,0,8,8,7,26,10,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
24867,26555,4105,46,9.2,377,77,0,9,11,13,51,16,0,0,0,0,0,0,0,0,0,0,27227,2902,47,9.4,353,88,0,11,9,13,37,8,1,0,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18053,26332,2794,45,9.0,369,86,0,8,14,9,33,11,1,0,1,0,1,0,0,0,0,1,28987,4132,49,9.8,379,100,0,14,8,22,103,10,0,0,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2015,28991,2298,47,9.4,349,79,0,13,8,24,26,11,1,0,2,0,1,1,0,1,1,0,23624,4194,44,8.8,314,75,0,8,13,11,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
19172,31368,6668,49,9.8,391,69,0,20,5,25,56,13,0,0,1,0,1,0,0,0,0,1,21876,1856,43,8.6,352,68,0,5,20,7,33,12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25622,53411,1236,47,9.4,229,64,0,39,26,58,36,0,1,1,9,4,2,3,1,1,2,0,38888,6718,45,9.0,122,4,0,26,39,32,15,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
25891,30239,3027,48,9.6,335,100,0,19,9,19,67,22,1,0,1,0,0,1,0,1,1,0,25469,3308,46,9.2,356,80,0,9,19,11,40,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5756,29703,2138,51,10.2,400,90,0,15,9,10,37,14,1,0,1,0,1,0,0,0,1,1,24675,2475,45,9.0,347,74,0,9,15,10,31,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
603,27703,4088,48,9.6,352,61,0,12,16,13,65,8,1,0,1,0,0,1,0,0,0,1,28162,3012,48,9.6,387,76,0,16,12,16,67,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5329,4378,2378,11,2.2,29,16,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5315,2840,13,2.6,39,15,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25256,23907,1880,46,9.2,308,60,0,11,10,7,27,7,0,0,0,0,0,0,0,0,0,0,26122,3832,47,9.4,345,112,0,10,11,5,24,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
865,23762,3282,46,9.2,394,83,0,4,7,3,116,16,1,0,1,1,0,0,0,1,1,1,25257,2502,45,9.0,431,72,0,7,4,13,70,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
22257,22073,2228,41,8.2,315,65,0,4,19,4,33,14,0,0,0,0,0,0,0,0,0,1,29948,6208,48,9.6,370,73,0,19,4,30,41,9,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16627,24288,1750,44,8.8,383,62,0,4,12,7,35,13,0,0,0,0,0,0,0,1,1,1,27671,3773,47,9.4,369,92,0,12,4,17,115,11,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
18842,26267,2957,45,9.0,365,76,0,9,13,15,32,2,0,0,1,1,0,0,0,1,1,0,27125,2850,45,9.0,315,87,0,13,9,21,31,9,1,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
